w782,tor,tor (2),tor (3),w782 (2),w782 (3),hbtr,hbtr (2),hbtr (3)
2024/12/9,1.3618,1.5898,0.06%,限制大额申购,开放赎回,,,
2024/12/6,1.361,1.589,0.04%,限制大额申购,开放赎回,,,
2024/12/5,1.3605,1.5885,0.07%,限制大额申购,开放赎回,,,
2024/12/4,1.3595,1.5875,0.12%,限制大额申购,开放赎回,,,
2024/12/3,1.3579,1.5859,0.05%,限制大额申购,开放赎回,,,
2024/12/2,1.3572,1.5852,0.24%,限制大额申购,开放赎回,,,
2024/11/29,1.3539,1.5819,0.12%,限制大额申购,开放赎回,,,
2024/11/28,1.3523,1.5803,0.06%,限制大额申购,开放赎回,,,
2024/11/27,1.3515,1.5795,0.05%,限制大额申购,开放赎回,,,
2024/11/26,1.3508,1.5788,0.05%,限制大额申购,开放赎回,,,
2024/11/25,1.3501,1.5781,0.06%,限制大额申购,开放赎回,,,
2024/11/22,1.3493,1.5773,0.04%,限制大额申购,开放赎回,,,
2024/11/21,1.3487,1.5767,0.04%,限制大额申购,开放赎回,,,
2024/11/20,1.3482,1.5762,0.01%,限制大额申购,开放赎回,,,
2024/11/19,1.3481,1.5761,0.02%,限制大额申购,开放赎回,,,
2024/11/18,1.3478,1.5758,0.00%,限制大额申购,开放赎回,,,
2024/11/15,1.3478,1.5758,0.03%,限制大额申购,开放赎回,,,
2024/11/14,1.3474,1.5754,0.01%,限制大额申购,开放赎回,,,
2024/11/13,1.3473,1.5753,0.02%,限制大额申购,开放赎回,,,
2024/11/12,1.347,1.575,0.05%,限制大额申购,开放赎回,,,
2024/11/11,1.3463,1.5743,0.04%,限制大额申购,开放赎回,,,
2024/11/8,1.3457,1.5737,0.02%,限制大额申购,开放赎回,,,
2024/11/7,1.3454,1.5734,0.05%,限制大额申购,开放赎回,,,
2024/11/6,1.3447,1.5727,0.02%,限制大额申购,开放赎回,,,
2024/11/5,1.3444,1.5724,0.02%,限制大额申购,开放赎回,,,
2024/11/4,1.3441,1.5721,0.03%,限制大额申购,开放赎回,,,
2024/11/1,1.3437,1.5717,0.04%,限制大额申购,开放赎回,,,
2024/10/31,1.3432,1.5712,0.00%,限制大额申购,开放赎回,,,
2024/10/30,1.3432,1.5712,-0.02%,限制大额申购,开放赎回,,,
2024/10/29,1.3435,1.5715,-0.03%,限制大额申购,开放赎回,,,
2024/10/28,1.3439,1.5719,-0.05%,限制大额申购,开放赎回,,,
2024/10/25,1.3446,1.5726,-0.06%,限制大额申购,开放赎回,,,
2024/10/24,1.3454,1.5734,-0.01%,限制大额申购,开放赎回,,,
2024/10/23,1.3456,1.5736,-0.13%,限制大额申购,开放赎回,,,
2024/10/22,1.3473,1.5753,-0.05%,限制大额申购,开放赎回,,,
2024/10/21,1.348,1.576,0.01%,限制大额申购,开放赎回,,,
2024/10/18,1.3479,1.5759,0.03%,限制大额申购,开放赎回,,,
2024/10/17,1.3475,1.5755,0.06%,限制大额申购,开放赎回,,,
2024/10/16,1.3467,1.5747,0.08%,限制大额申购,开放赎回,,,
2024/10/15,1.3456,1.5736,0.14%,限制大额申购,开放赎回,,,
2024/10/14,1.3437,1.5717,0.31%,限制大额申购,开放赎回,,,
2024/10/11,1.3396,1.5676,0.19%,限制大额申购,开放赎回,,,
2024/10/10,1.337,1.565,0.06%,限制大额申购,开放赎回,,,
2024/10/9,1.3362,1.5642,-0.31%,限制大额申购,开放赎回,,,
2024/10/8,1.3403,1.5683,-0.18%,限制大额申购,开放赎回,,,
2024/9/30,1.3427,1.5707,-0.51%,限制大额申购,开放赎回,,,
2024/9/27,1.3496,1.5776,-0.32%,限制大额申购,开放赎回,,,
2024/9/26,1.354,1.582,-0.03%,限制大额申购,开放赎回,,,
2024/9/25,1.3544,1.5824,0.04%,限制大额申购,开放赎回,,,
2024/9/24,1.3539,1.5819,-0.05%,限制大额申购,开放赎回,,,
2024/9/23,1.3546,1.5826,0.00%,限制大额申购,开放赎回,,,
2024/9/20,1.3546,1.5826,-0.04%,限制大额申购,开放赎回,,,
2024/9/19,1.3551,1.5831,-0.02%,限制大额申购,开放赎回,,,
2024/9/18,1.3554,1.5834,0.10%,限制大额申购,开放赎回,,,
2024/9/13,1.3541,1.5821,0.03%,限制大额申购,开放赎回,,,
2024/9/12,1.3537,1.5817,0.01%,限制大额申购,开放赎回,,,
2024/9/11,1.3536,1.5816,0.02%,限制大额申购,开放赎回,,,
2024/9/10,1.3533,1.5813,0.01%,限制大额申购,开放赎回,,,
2024/9/9,1.3532,1.5812,0.03%,限制大额申购,开放赎回,,,
2024/9/6,1.3528,1.5808,0.01%,限制大额申购,开放赎回,,,
2024/9/5,1.3526,1.5806,0.03%,限制大额申购,开放赎回,,,
2024/9/4,1.3522,1.5802,0.04%,限制大额申购,开放赎回,,,
2024/9/3,1.3517,1.5797,0.04%,限制大额申购,开放赎回,,,
2024/9/2,1.3512,1.5792,0.07%,限制大额申购,开放赎回,,,
2024/8/30,1.3503,1.5783,0.01%,限制大额申购,开放赎回,,,
2024/8/29,1.3502,1.5782,0.02%,限制大额申购,开放赎回,,,
2024/8/28,1.3499,1.5779,-0.02%,限制大额申购,开放赎回,,,
2024/8/27,1.3502,1.5782,-0.14%,限制大额申购,开放赎回,,,
2024/8/26,1.3521,1.5801,-0.07%,限制大额申购,开放赎回,,,
2024/8/23,1.3531,1.5811,-0.04%,限制大额申购,开放赎回,,,
2024/8/22,1.3537,1.5817,-0.02%,限制大额申购,开放赎回,,,
2024/8/21,1.354,1.582,-0.06%,限制大额申购,开放赎回,,,
2024/8/20,1.3548,1.5828,-0.01%,限制大额申购,开放赎回,,,
2024/8/19,1.355,1.583,0.01%,限制大额申购,开放赎回,,,
2024/8/16,1.3549,1.5829,0.01%,限制大额申购,开放赎回,,,
2024/8/15,1.3547,1.5827,-0.01%,限制大额申购,开放赎回,,,
2024/8/14,1.3549,1.5829,0.09%,限制大额申购,开放赎回,,,
2024/8/13,1.3537,1.5817,-0.01%,限制大额申购,开放赎回,,,
2024/8/12,1.3538,1.5818,-0.19%,限制大额申购,开放赎回,,,
2024/8/9,1.3564,1.5844,-0.12%,限制大额申购,开放赎回,,,
2024/8/8,1.358,1.586,-0.06%,限制大额申购,开放赎回,,,
2024/8/7,1.3588,1.5868,0.06%,限制大额申购,开放赎回,,,
2024/8/6,1.358,1.586,-0.05%,限制大额申购,开放赎回,,,
2024/8/5,1.3587,1.5867,0.09%,限制大额申购,开放赎回,,,
2024/8/2,1.3575,1.5855,0.08%,限制大额申购,开放赎回,,,
2024/8/1,1.3564,1.5844,0.08%,限制大额申购,开放赎回,,,
2024/7/31,1.3553,1.5833,0.07%,限制大额申购,开放赎回,,,
2024/7/30,1.3544,1.5824,0.12%,限制大额申购,开放赎回,,,
2024/7/29,1.3528,1.5808,0.09%,限制大额申购,开放赎回,,,
2024/7/26,1.3516,1.5796,0.08%,限制大额申购,开放赎回,,,
2024/7/25,1.3505,1.5785,0.10%,限制大额申购,开放赎回,,,
2024/7/24,1.3492,1.5772,0.05%,限制大额申购,开放赎回,,,
2024/7/23,1.3485,1.5765,0.08%,限制大额申购,开放赎回,,,
2024/7/22,1.3474,1.5754,0.10%,限制大额申购,开放赎回,,,
2024/7/19,1.3461,1.5741,0.02%,限制大额申购,开放赎回,,,
2024/7/18,1.3458,1.5738,0.01%,限制大额申购,开放赎回,,,
2024/7/17,1.3456,1.5736,0.01%,限制大额申购,开放赎回,,,
2024/7/16,1.3454,1.5734,0.04%,限制大额申购,开放赎回,,,
2024/7/15,1.3449,1.5729,0.04%,限制大额申购,开放赎回,,,
2024/7/12,1.3443,1.5723,0.04%,限制大额申购,开放赎回,,,
2024/7/11,1.3438,1.5718,0.03%,限制大额申购,开放赎回,,,
2024/7/10,1.3434,1.5714,0.02%,限制大额申购,开放赎回,,,
2024/7/9,1.3431,1.5711,0.04%,限制大额申购,开放赎回,,,
2024/7/8,1.3426,1.5706,-0.05%,限制大额申购,开放赎回,,,
2024/7/5,1.3433,1.5713,-0.04%,限制大额申购,开放赎回,,,
2024/7/4,1.3438,1.5718,0.04%,限制大额申购,开放赎回,,,
2024/7/3,1.3433,1.5713,0.05%,限制大额申购,开放赎回,,,
2024/7/2,1.3426,1.5706,0.00%,限制大额申购,开放赎回,,,
2024/7/1,1.3426,1.5706,-0.04%,限制大额申购,开放赎回,,,
2024/6/30,1.3432,1.5712,0.01%,限制大额申购,开放赎回,,,
2024/6/28,1.3431,1.5711,0.05%,限制大额申购,开放赎回,,,
2024/6/27,1.3424,1.5704,0.06%,限制大额申购,开放赎回,,,
2024/6/26,1.3416,1.5696,0.02%,限制大额申购,开放赎回,,,
2024/6/25,1.3413,1.5693,0.04%,限制大额申购,开放赎回,,,
2024/6/24,1.3408,1.5688,0.02%,限制大额申购,开放赎回,,,
2024/6/21,1.3405,1.5685,-0.02%,限制大额申购,开放赎回,,,
2024/6/20,1.3408,1.5688,0.04%,限制大额申购,开放赎回,,,
2024/6/19,1.3403,1.5683,0.03%,限制大额申购,开放赎回,,,
2024/6/18,1.3399,1.5679,0.04%,限制大额申购,开放赎回,,,
2024/6/17,1.3394,1.5674,0.06%,限制大额申购,开放赎回,,,
2024/6/14,1.3386,1.5666,0.04%,限制大额申购,开放赎回,,,
2024/6/13,1.338,1.566,0.03%,限制大额申购,开放赎回,,,
2024/6/12,1.3376,1.5656,0.02%,限制大额申购,开放赎回,,,
2024/6/11,1.3373,1.5653,0.04%,限制大额申购,开放赎回,,,
2024/6/7,1.3367,1.5647,0.04%,限制大额申购,开放赎回,,,
2024/6/6,1.3362,1.5642,0.05%,限制大额申购,开放赎回,,,
2024/6/5,1.3355,1.5635,0.05%,限制大额申购,开放赎回,,,
2024/6/4,1.3348,1.5628,0.03%,限制大额申购,开放赎回,,,
2024/6/3,1.3344,1.5624,0.05%,限制大额申购,开放赎回,,,
2024/5/31,1.3337,1.5617,0.00%,限制大额申购,开放赎回,,,
2024/5/30,1.3337,1.5617,0.03%,限制大额申购,开放赎回,,,
2024/5/29,1.3333,1.5613,0.06%,限制大额申购,开放赎回,,,
2024/5/28,1.3325,1.5605,0.03%,限制大额申购,开放赎回,,,
2024/5/27,1.3321,1.5601,0.02%,限制大额申购,开放赎回,,,
2024/5/24,1.3319,1.5599,0.03%,限制大额申购,开放赎回,,,
2024/5/23,1.3315,1.5595,0.05%,限制大额申购,开放赎回,,,
2024/5/22,1.3309,1.5589,0.03%,限制大额申购,开放赎回,,,
2024/5/21,1.3305,1.5585,0.00%,限制大额申购,开放赎回,,,
2024/5/20,1.3305,1.5585,0.05%,限制大额申购,开放赎回,,,
