w782,tor,tor (3),w782 (2),w782 (3),hbtr,hbtr (2),hbtr (3)
2024/12/9,1.6257,-0.25%,限制大额申购,开放赎回,,,
2024/12/6,1.6298,0.52%,限制大额申购,开放赎回,,,
2024/12/5,1.6214,0.51%,限制大额申购,开放赎回,,,
2024/12/4,1.6131,1.14%,限制大额申购,开放赎回,,,
2024/12/3,1.5949,0.27%,限制大额申购,开放赎回,,,
2024/12/2,1.5906,1.20%,限制大额申购,开放赎回,,,
2024/11/29,1.5717,0.87%,限制大额申购,开放赎回,,,
2024/11/28,1.5582,1.31%,限制大额申购,开放赎回,,,
2024/11/27,1.538,-0.03%,限制大额申购,开放赎回,,,
2024/11/26,1.5385,-0.56%,限制大额申购,开放赎回,,,
2024/11/25,1.5472,0.40%,限制大额申购,开放赎回,,,
2024/11/22,1.541,0.18%,限制大额申购,开放赎回,,,
2024/11/21,1.5382,0.29%,限制大额申购,开放赎回,,,
2024/11/20,1.5338,-0.12%,限制大额申购,开放赎回,,,
2024/11/19,1.5357,-0.20%,限制大额申购,开放赎回,,,
2024/11/18,1.5388,-0.24%,限制大额申购,开放赎回,,,
2024/11/15,1.5425,-0.48%,限制大额申购,开放赎回,,,
2024/11/14,1.5499,0.62%,限制大额申购,开放赎回,,,
2024/11/13,1.5404,0.11%,限制大额申购,开放赎回,,,
2024/11/12,1.5387,-2.34%,限制大额申购,开放赎回,,,
2024/11/11,1.5755,0.92%,限制大额申购,开放赎回,,,
2024/11/8,1.5612,-0.45%,限制大额申购,开放赎回,,,
2024/11/7,1.5683,0.93%,限制大额申购,开放赎回,,,
2024/11/6,1.5538,-0.87%,限制大额申购,开放赎回,,,
2024/11/5,1.5674,0.31%,限制大额申购,开放赎回,,,
2024/11/4,1.5625,-0.55%,限制大额申购,开放赎回,,,
2024/11/1,1.5711,0.95%,限制大额申购,开放赎回,,,
2024/10/31,1.5563,-0.77%,限制大额申购,开放赎回,,,
2024/10/30,1.5683,-0.86%,限制大额申购,开放赎回,,,
2024/10/29,1.5819,-0.15%,限制大额申购,开放赎回,,,
2024/10/28,1.5843,0.37%,限制大额申购,开放赎回,,,
2024/10/25,1.5784,0.17%,限制大额申购,开放赎回,,,
2024/10/24,1.5757,0.25%,限制大额申购,开放赎回,,,
2024/10/23,1.5717,-0.34%,限制大额申购,开放赎回,,,
2024/10/22,1.5771,-0.31%,限制大额申购,开放赎回,,,
2024/10/21,1.582,-1.00%,限制大额申购,开放赎回,,,
2024/10/18,1.5979,0.16%,限制大额申购,开放赎回,,,
2024/10/17,1.5954,0.51%,限制大额申购,开放赎回,,,
2024/10/16,1.5873,0.03%,限制大额申购,开放赎回,,,
2024/10/15,1.5869,-0.09%,限制大额申购,开放赎回,,,
2024/10/14,1.5884,0.55%,限制大额申购,开放赎回,,,
2024/10/11,1.5797,0.68%,限制大额申购,开放赎回,,,
