w782,tor,tor (3),w782 (2),w782 (3),hbtr,hbtr (2),hbtr (3)
2024/12/10,2.012,0.36%,开放申购,开放赎回,,,
2024/12/9,2.0048,0.47%,开放申购,开放赎回,,,
2024/12/6,1.9954,-0.30%,开放申购,开放赎回,,,
2024/12/5,2.0014,0.02%,开放申购,开放赎回,,,
2024/12/4,2.001,-0.12%,开放申购,开放赎回,,,
2024/12/3,2.0035,0.53%,开放申购,开放赎回,,,
2024/12/2,1.993,-0.27%,开放申购,开放赎回,,,
2024/11/29,1.9983,0.46%,开放申购,开放赎回,,,
2024/11/28,1.9891,-0.30%,开放申购,开放赎回,,,
2024/11/27,1.995,1.02%,开放申购,开放赎回,,,
2024/11/26,1.9749,-1.41%,开放申购,开放赎回,,,
2024/11/25,2.0031,-1.08%,开放申购,开放赎回,,,
2024/11/22,2.025,1.10%,开放申购,开放赎回,,,
2024/11/21,2.0029,1.27%,开放申购,开放赎回,,,
2024/11/20,1.9777,0.11%,开放申购,开放赎回,,,
2024/11/19,1.9756,1.33%,开放申购,开放赎回,,,
2024/11/18,1.9496,1.12%,开放申购,开放赎回,,,
2024/11/15,1.9281,0.14%,开放申购,开放赎回,,,
2024/11/14,1.9255,-1.89%,开放申购,开放赎回,,,
2024/11/13,1.9626,0.04%,开放申购,开放赎回,,,
2024/11/12,1.9618,-1.62%,开放申购,开放赎回,,,
2024/11/11,1.9942,0.07%,开放申购,开放赎回,,,
2024/11/8,1.9929,0.46%,开放申购,开放赎回,,,
2024/11/7,1.9838,-2.17%,开放申购,开放赎回,,,
2024/11/6,2.0277,0.15%,开放申购,开放赎回,,,
2024/11/5,2.0247,0.03%,开放申购,开放赎回,,,
2024/11/4,2.024,-0.61%,开放申购,开放赎回,,,
2024/11/1,2.0365,-0.91%,开放申购,开放赎回,,,
2024/10/31,2.0552,-0.39%,开放申购,开放赎回,,,
2024/10/30,2.0632,1.04%,开放申购,开放赎回,,,
2024/10/29,2.042,0.70%,开放申购,开放赎回,,,
2024/10/28,2.0278,0.45%,开放申购,开放赎回,,,
2024/10/25,2.0188,-0.21%,开放申购,开放赎回,,,
2024/10/24,2.023,-0.78%,开放申购,开放赎回,,,
2024/10/23,2.039,0.50%,开放申购,开放赎回,,,
2024/10/22,2.0289,0.14%,开放申购,开放赎回,,,
2024/10/21,2.026,1.02%,开放申购,开放赎回,,,
2024/10/18,2.0056,0.65%,开放申购,开放赎回,,,
2024/10/17,1.9926,0.42%,开放申购,开放赎回,,,
2024/10/16,1.9843,1.02%,开放申购,开放赎回,,,
2024/10/15,1.9643,0.37%,开放申购,开放赎回,,,
