w782,tor,tor (3),w782 (2),w782 (3),hbtr,hbtr (2),hbtr (3)
2024/12/9,5.057,-1.25%,限制大额申购,开放赎回,,,
2024/12/6,5.121,0.71%,限制大额申购,开放赎回,,,
2024/12/5,5.085,-0.12%,限制大额申购,开放赎回,,,
2024/12/4,5.091,1.11%,限制大额申购,开放赎回,,,
2024/12/3,5.035,0.76%,限制大额申购,开放赎回,,,
2024/12/2,4.997,0.48%,限制大额申购,开放赎回,,,
2024/11/29,4.973,0.77%,限制大额申购,开放赎回,,,
2024/11/28,4.935,-0.12%,暂停申购,暂停赎回,,,
2024/11/27,4.941,-0.72%,限制大额申购,开放赎回,,,
2024/11/26,4.977,0.95%,限制大额申购,开放赎回,,,
2024/11/25,4.93,-0.34%,限制大额申购,开放赎回,,,
2024/11/22,4.947,0.20%,限制大额申购,开放赎回,,,
2024/11/21,4.937,0.26%,限制大额申购,开放赎回,,,
2024/11/20,4.924,-0.12%,限制大额申购,开放赎回,,,
2024/11/19,4.93,1.32%,限制大额申购,开放赎回,,,
2024/11/18,4.866,0.25%,限制大额申购,开放赎回,,,
2024/11/15,4.854,-1.58%,限制大额申购,开放赎回,,,
2024/11/14,4.932,-0.80%,限制大额申购,开放赎回,,,
2024/11/13,4.972,-0.08%,限制大额申购,开放赎回,,,
2024/11/12,4.976,0.00%,限制大额申购,开放赎回,,,
2024/11/11,4.976,0.57%,限制大额申购,开放赎回,,,
2024/11/8,4.948,0.28%,限制大额申购,开放赎回,,,
2024/11/7,4.934,2.58%,限制大额申购,开放赎回,,,
2024/11/6,4.81,2.73%,限制大额申购,开放赎回,,,
2024/11/5,4.682,1.43%,限制大额申购,开放赎回,,,
2024/11/4,4.616,-0.35%,限制大额申购,开放赎回,,,
2024/11/1,4.632,0.35%,限制大额申购,开放赎回,,,
2024/10/31,4.616,-2.74%,限制大额申购,开放赎回,,,
2024/10/30,4.746,-0.42%,限制大额申购,开放赎回,,,
2024/10/29,4.766,0.74%,限制大额申购,开放赎回,,,
2024/10/28,4.731,0.47%,限制大额申购,开放赎回,,,
2024/10/25,4.709,0.09%,限制大额申购,开放赎回,,,
2024/10/24,4.705,0.73%,限制大额申购,开放赎回,,,
2024/10/23,4.671,-1.27%,限制大额申购,开放赎回,,,
2024/10/22,4.731,0.30%,限制大额申购,开放赎回,,,
2024/10/21,4.717,-0.13%,限制大额申购,开放赎回,,,
2024/10/18,4.723,0.53%,限制大额申购,开放赎回,,,
2024/10/17,4.698,0.19%,限制大额申购,开放赎回,,,
2024/10/16,4.689,0.84%,限制大额申购,开放赎回,,,
2024/10/15,4.65,-0.96%,限制大额申购,开放赎回,,,
2024/10/14,4.695,0.75%,限制大额申购,开放赎回,,,
2024/10/11,4.66,0.41%,限制大额申购,开放赎回,,,
2024/10/10,4.641,0.04%,限制大额申购,开放赎回,,,
2024/10/9,4.639,0.35%,限制大额申购,开放赎回,,,
2024/10/8,4.623,1.76%,限制大额申购,开放赎回,,,
2024/9/30,4.543,0.46%,限制大额申购,开放赎回,,,
2024/9/27,4.522,-0.96%,限制大额申购,开放赎回,,,
2024/9/26,4.566,0.31%,限制大额申购,开放赎回,,,
2024/9/25,4.552,-0.26%,限制大额申购,开放赎回,,,
2024/9/24,4.564,0.46%,限制大额申购,开放赎回,,,
2024/9/23,4.543,0.11%,限制大额申购,开放赎回,,,
2024/9/20,4.538,-0.46%,限制大额申购,开放赎回,,,
2024/9/19,4.559,2.52%,限制大额申购,开放赎回,,,
2024/9/18,4.447,-0.60%,限制大额申购,开放赎回,,,
2024/9/13,4.474,0.38%,限制大额申购,开放赎回,,,
2024/9/12,4.457,1.23%,限制大额申购,开放赎回,,,
2024/9/11,4.403,2.18%,限制大额申购,开放赎回,,,
2024/9/10,4.309,0.91%,限制大额申购,开放赎回,,,
2024/9/9,4.27,1.33%,限制大额申购,开放赎回,,,
2024/9/6,4.214,-2.57%,限制大额申购,开放赎回,,,
2024/9/5,4.325,-0.21%,限制大额申购,开放赎回,,,
2024/9/4,4.334,-0.16%,限制大额申购,开放赎回,,,
2024/9/3,4.341,-3.19%,限制大额申购,开放赎回,,,
2024/9/2,4.484,-0.16%,暂停申购,暂停赎回,,,
2024/8/30,4.491,0.97%,限制大额申购,开放赎回,,,
2024/8/29,4.448,-0.20%,限制大额申购,开放赎回,,,
2024/8/28,4.457,-0.98%,限制大额申购,开放赎回,,,
2024/8/27,4.501,0.38%,限制大额申购,开放赎回,,,
2024/8/26,4.484,-1.10%,限制大额申购,开放赎回,,,
2024/8/23,4.534,1.55%,限制大额申购,开放赎回,,,
2024/8/22,4.465,-1.48%,限制大额申购,开放赎回,,,
2024/8/21,4.532,0.51%,限制大额申购,开放赎回,,,
2024/8/20,4.509,-0.35%,限制大额申购,开放赎回,,,
2024/8/19,4.525,1.07%,限制大额申购,开放赎回,,,
2024/8/16,4.477,0.18%,限制大额申购,开放赎回,,,
2024/8/15,4.469,2.01%,限制大额申购,开放赎回,,,
2024/8/14,4.381,0.25%,限制大额申购,开放赎回,,,
2024/8/13,4.37,2.17%,限制大额申购,开放赎回,,,
2024/8/12,4.277,0.28%,限制大额申购,开放赎回,,,
2024/8/9,4.265,0.85%,限制大额申购,开放赎回,,,
2024/8/8,4.229,3.40%,限制大额申购,开放赎回,,,
2024/8/7,4.09,-1.06%,限制大额申购,开放赎回,,,
2024/8/6,4.134,1.40%,限制大额申购,开放赎回,,,
2024/8/5,4.077,-3.18%,限制大额申购,开放赎回,,,
2024/8/2,4.211,-2.57%,限制大额申购,开放赎回,,,
2024/8/1,4.322,-2.13%,限制大额申购,开放赎回,,,
2024/7/31,4.416,2.75%,限制大额申购,开放赎回,,,
2024/7/30,4.298,-1.29%,限制大额申购,开放赎回,,,
2024/7/29,4.354,0.14%,限制大额申购,开放赎回,,,
2024/7/26,4.348,0.98%,限制大额申购,开放赎回,,,
2024/7/25,4.306,-1.15%,限制大额申购,开放赎回,,,
2024/7/24,4.356,-3.82%,限制大额申购,开放赎回,,,
2024/7/23,4.529,0.27%,限制大额申购,开放赎回,,,
2024/7/22,4.517,1.69%,限制大额申购,开放赎回,,,
2024/7/19,4.442,-0.60%,限制大额申购,开放赎回,,,
2024/7/18,4.469,-0.73%,限制大额申购,开放赎回,,,
2024/7/17,4.502,-3.29%,限制大额申购,开放赎回,,,
2024/7/16,4.655,0.06%,限制大额申购,开放赎回,,,
2024/7/15,4.652,0.19%,限制大额申购,开放赎回,,,
2024/7/12,4.643,0.32%,限制大额申购,开放赎回,,,
2024/7/11,4.628,-2.07%,限制大额申购,开放赎回,,,
2024/7/10,4.726,1.00%,限制大额申购,开放赎回,,,
2024/7/9,4.679,0.17%,限制大额申购,开放赎回,,,
2024/7/8,4.671,0.24%,限制大额申购,开放赎回,,,
2024/7/5,4.66,0.65%,限制大额申购,开放赎回,,,
2024/7/4,4.63,0.00%,暂停申购,暂停赎回,,,
2024/7/3,4.63,0.94%,限制大额申购,开放赎回,,,
2024/7/2,4.587,0.66%,限制大额申购,开放赎回,,,
2024/7/1,4.557,0.64%,限制大额申购,开放赎回,,,
2024/6/30,4.528,-0.02%,限制大额申购,开放赎回,,,
2024/6/28,4.529,-0.68%,限制大额申购,开放赎回,,,
2024/6/27,4.56,0.24%,限制大额申购,开放赎回,,,
2024/6/26,4.549,0.20%,限制大额申购,开放赎回,,,
2024/6/25,4.54,1.32%,限制大额申购,开放赎回,,,
2024/6/24,4.481,-1.15%,限制大额申购,开放赎回,,,
2024/6/21,4.533,-0.48%,限制大额申购,开放赎回,,,
2024/6/20,4.555,-1.02%,限制大额申购,开放赎回,,,
2024/6/19,4.602,0.00%,暂停申购,暂停赎回,,,
2024/6/18,4.602,0.55%,限制大额申购,开放赎回,,,
2024/6/17,4.577,0.95%,限制大额申购,开放赎回,,,
2024/6/14,4.534,0.02%,限制大额申购,开放赎回,,,
2024/6/13,4.533,0.53%,限制大额申购,开放赎回,,,
2024/6/12,4.509,1.39%,限制大额申购,开放赎回,,,
2024/6/11,4.447,1.25%,限制大额申购,开放赎回,,,
2024/6/7,4.392,-0.16%,限制大额申购,开放赎回,,,
2024/6/6,4.399,-0.36%,限制大额申购,开放赎回,,,
