w782,tor,tor (2),tor (3),w782 (2),w782 (3),red,hbtr,hbtr (2),hbtr (3)
2024/12/10,1.2578,1.6955,0.12%,限制大额申购,开放赎回,,,,
2024/12/9,1.2563,1.694,0.02%,限制大额申购,开放赎回,,,,
2024/12/6,1.256,1.6937,0.02%,限制大额申购,开放赎回,,,,
2024/12/5,1.2557,1.6934,0.04%,限制大额申购,开放赎回,,,,
2024/12/4,1.2552,1.6929,0.06%,限制大额申购,开放赎回,,,,
2024/12/3,1.2545,1.6922,0.02%,限制大额申购,开放赎回,,,,
2024/12/2,1.2542,1.6919,0.16%,限制大额申购,开放赎回,,,,
2024/11/29,1.2522,1.6899,0.06%,限制大额申购,开放赎回,,,,
2024/11/28,1.2515,1.6892,0.02%,限制大额申购,开放赎回,,,,
2024/11/27,1.2512,1.6889,0.03%,限制大额申购,开放赎回,,,,
2024/11/26,1.2508,1.6885,0.03%,限制大额申购,开放赎回,,,,
2024/11/25,1.2504,1.6881,0.06%,限制大额申购,开放赎回,,,,
2024/11/22,1.2497,1.6874,0.03%,限制大额申购,开放赎回,,,,
2024/11/21,1.2493,1.687,0.02%,限制大额申购,开放赎回,,,,
2024/11/20,1.249,1.6867,0.01%,限制大额申购,开放赎回,,,,
2024/11/19,1.2489,1.6866,0.01%,限制大额申购,开放赎回,,,,
2024/11/18,1.2488,1.6865,0.00%,限制大额申购,开放赎回,,,,
2024/11/15,1.2488,1.6865,0.02%,限制大额申购,开放赎回,,,,
2024/11/14,1.2485,1.6862,-0.01%,限制大额申购,开放赎回,,,,
2024/11/13,1.2486,1.6863,0.02%,限制大额申购,开放赎回,,,,
2024/11/12,1.2484,1.6861,0.05%,限制大额申购,开放赎回,,,,
2024/11/11,1.2478,1.6855,0.05%,限制大额申购,开放赎回,,,,
2024/11/8,1.2472,1.6849,0.04%,限制大额申购,开放赎回,,,,
2024/11/7,1.2467,1.6844,0.06%,限制大额申购,开放赎回,,,,
2024/11/6,1.246,1.6837,0.04%,限制大额申购,开放赎回,,,,
2024/11/5,1.2455,1.6832,0.03%,限制大额申购,开放赎回,,,,
2024/11/4,1.2451,1.6828,0.05%,限制大额申购,开放赎回,,,,
2024/11/1,1.2445,1.6822,0.07%,限制大额申购,开放赎回,,,,
2024/10/31,1.2436,1.6813,0.03%,限制大额申购,开放赎回,,,,
2024/10/30,1.2432,1.6809,0.01%,限制大额申购,开放赎回,,,,
2024/10/29,1.2431,1.6808,-0.01%,限制大额申购,开放赎回,,,,
2024/10/28,1.2432,1.6809,-0.02%,限制大额申购,开放赎回,,,,
2024/10/25,1.2435,1.6812,-0.03%,限制大额申购,开放赎回,,,,
2024/10/24,1.2439,1.6816,0.00%,限制大额申购,开放赎回,,,,
2024/10/23,1.2439,1.6816,-0.10%,限制大额申购,开放赎回,,,,
2024/10/22,1.2451,1.6828,-0.04%,限制大额申购,开放赎回,,,,
2024/10/21,1.2456,1.6833,0.00%,限制大额申购,开放赎回,,,,
2024/10/18,1.2456,1.6833,0.02%,限制大额申购,开放赎回,每份派现金0.0120元,,,
2024/10/17,1.2574,1.6831,0.03%,限制大额申购,开放赎回,,,,
2024/10/16,1.257,1.6827,0.04%,限制大额申购,开放赎回,,,,
2024/10/15,1.2565,1.6822,0.06%,限制大额申购,开放赎回,,,,
2024/10/14,1.2557,1.6814,0.23%,限制大额申购,开放赎回,,,,
2024/10/11,1.2528,1.6785,0.20%,限制大额申购,开放赎回,,,,
2024/10/10,1.2503,1.676,0.16%,限制大额申购,开放赎回,,,,
2024/10/9,1.2483,1.674,-0.18%,限制大额申购,开放赎回,,,,
2024/10/8,1.2506,1.6763,-0.12%,限制大额申购,开放赎回,,,,
2024/9/30,1.2521,1.6778,-0.32%,限制大额申购,开放赎回,,,,
2024/9/27,1.2561,1.6818,-0.25%,限制大额申购,开放赎回,,,,
2024/9/26,1.2592,1.6849,-0.02%,限制大额申购,开放赎回,,,,
2024/9/25,1.2594,1.6851,0.04%,限制大额申购,开放赎回,,,,
2024/9/24,1.2589,1.6846,-0.02%,限制大额申购,开放赎回,,,,
2024/9/23,1.2591,1.6848,0.02%,限制大额申购,开放赎回,,,,
2024/9/20,1.2589,1.6846,-0.02%,限制大额申购,开放赎回,,,,
2024/9/19,1.2591,1.6848,-0.01%,限制大额申购,开放赎回,,,,
2024/9/18,1.2592,1.6849,0.10%,限制大额申购,开放赎回,,,,
2024/9/13,1.258,1.6837,0.04%,限制大额申购,开放赎回,,,,
2024/9/12,1.2575,1.6832,0.02%,限制大额申购,开放赎回,,,,
2024/9/11,1.2573,1.683,0.03%,限制大额申购,开放赎回,,,,
2024/9/10,1.2569,1.6826,0.02%,限制大额申购,开放赎回,,,,
2024/9/9,1.2567,1.6824,0.05%,限制大额申购,开放赎回,,,,
2024/9/6,1.2561,1.6818,0.02%,限制大额申购,开放赎回,,,,
2024/9/5,1.2559,1.6816,0.05%,限制大额申购,开放赎回,,,,
2024/9/4,1.2553,1.681,0.04%,限制大额申购,开放赎回,,,,
2024/9/3,1.2548,1.6805,0.03%,限制大额申购,开放赎回,,,,
2024/9/2,1.2544,1.6801,0.08%,限制大额申购,开放赎回,,,,
2024/8/30,1.2534,1.6791,0.02%,限制大额申购,开放赎回,,,,
2024/8/29,1.2532,1.6789,0.02%,限制大额申购,开放赎回,,,,
2024/8/28,1.253,1.6787,0.02%,限制大额申购,开放赎回,,,,
2024/8/27,1.2528,1.6785,-0.10%,限制大额申购,开放赎回,,,,
2024/8/26,1.254,1.6797,-0.03%,限制大额申购,开放赎回,,,,
2024/8/23,1.2544,1.6801,-0.02%,限制大额申购,开放赎回,,,,
2024/8/22,1.2546,1.6803,0.02%,限制大额申购,开放赎回,,,,
2024/8/21,1.2544,1.6801,-0.04%,限制大额申购,开放赎回,,,,
2024/8/20,1.2549,1.6806,0.01%,限制大额申购,开放赎回,,,,
2024/8/19,1.2548,1.6805,0.02%,限制大额申购,开放赎回,,,,
2024/8/16,1.2545,1.6802,0.02%,限制大额申购,开放赎回,,,,
2024/8/15,1.2543,1.68,-0.03%,限制大额申购,开放赎回,,,,
2024/8/14,1.2547,1.6804,0.10%,限制大额申购,开放赎回,,,,
2024/8/13,1.2534,1.6791,0.04%,限制大额申购,开放赎回,,,,
2024/8/12,1.2529,1.6786,-0.16%,限制大额申购,开放赎回,,,,
2024/8/9,1.2549,1.6806,-0.06%,限制大额申购,开放赎回,,,,
2024/8/8,1.2557,1.6814,-0.05%,限制大额申购,开放赎回,,,,
2024/8/7,1.2563,1.682,0.04%,限制大额申购,开放赎回,,,,
2024/8/6,1.2558,1.6815,-0.03%,限制大额申购,开放赎回,,,,
2024/8/5,1.2562,1.6819,0.05%,限制大额申购,开放赎回,,,,
2024/8/2,1.2556,1.6813,0.04%,限制大额申购,开放赎回,,,,
2024/8/1,1.2551,1.6808,0.05%,限制大额申购,开放赎回,,,,
2024/7/31,1.2545,1.6802,0.03%,限制大额申购,开放赎回,,,,
2024/7/30,1.2541,1.6798,0.05%,限制大额申购,开放赎回,,,,
2024/7/29,1.2535,1.6792,0.05%,限制大额申购,开放赎回,,,,
2024/7/26,1.2529,1.6786,0.05%,限制大额申购,开放赎回,,,,
2024/7/25,1.2523,1.678,0.04%,限制大额申购,开放赎回,,,,
2024/7/24,1.2518,1.6775,0.02%,限制大额申购,开放赎回,,,,
2024/7/23,1.2515,1.6772,0.05%,限制大额申购,开放赎回,,,,
2024/7/22,1.2509,1.6766,0.08%,限制大额申购,开放赎回,,,,
2024/7/19,1.2499,1.6756,0.01%,限制大额申购,开放赎回,,,,
2024/7/18,1.2498,1.6755,0.00%,限制大额申购,开放赎回,,,,
2024/7/17,1.2498,1.6755,0.01%,限制大额申购,开放赎回,,,,
2024/7/16,1.2497,1.6754,0.02%,限制大额申购,开放赎回,,,,
2024/7/15,1.2495,1.6752,0.05%,限制大额申购,开放赎回,,,,
2024/7/12,1.2489,1.6746,0.04%,限制大额申购,开放赎回,,,,
2024/7/11,1.2484,1.6741,0.02%,限制大额申购,开放赎回,,,,
2024/7/10,1.2481,1.6738,0.02%,限制大额申购,开放赎回,,,,
2024/7/9,1.2478,1.6735,0.04%,限制大额申购,开放赎回,,,,
2024/7/8,1.2473,1.673,-0.06%,限制大额申购,开放赎回,,,,
2024/7/5,1.248,1.6737,-0.03%,限制大额申购,开放赎回,,,,
2024/7/4,1.2484,1.6741,0.02%,限制大额申购,开放赎回,,,,
2024/7/3,1.2482,1.6739,0.05%,限制大额申购,开放赎回,,,,
2024/7/2,1.2476,1.6733,0.02%,限制大额申购,开放赎回,,,,
2024/7/1,1.2474,1.6731,-0.04%,限制大额申购,开放赎回,,,,
2024/6/30,1.2479,1.6736,0.01%,限制大额申购,开放赎回,,,,
2024/6/28,1.2478,1.6735,0.04%,限制大额申购,开放赎回,,,,
2024/6/27,1.2473,1.673,0.03%,限制大额申购,开放赎回,,,,
2024/6/26,1.2469,1.6726,0.02%,限制大额申购,开放赎回,,,,
2024/6/25,1.2466,1.6723,0.03%,限制大额申购,开放赎回,,,,
2024/6/24,1.2462,1.6719,0.02%,限制大额申购,开放赎回,,,,
2024/6/21,1.2459,1.6716,-0.02%,限制大额申购,开放赎回,,,,
2024/6/20,1.2461,1.6718,0.02%,限制大额申购,开放赎回,,,,
2024/6/19,1.2458,1.6715,0.02%,限制大额申购,开放赎回,,,,
2024/6/18,1.2455,1.6712,0.02%,限制大额申购,开放赎回,,,,
2024/6/17,1.2452,1.6709,0.02%,限制大额申购,开放赎回,,,,
