w782,tor,tor (2),tor (3),w782 (2),w782 (3),hbtr,hbtr (2),hbtr (3)
2024/12/10,1.8163,2.0563,0.10%,限制大额申购,开放赎回,,,
2024/12/9,1.8145,2.0545,0.02%,限制大额申购,开放赎回,,,
2024/12/6,1.8142,2.0542,0.02%,限制大额申购,开放赎回,,,
2024/12/5,1.8139,2.0539,0.04%,限制大额申购,开放赎回,,,
2024/12/4,1.8132,2.0532,0.06%,限制大额申购,开放赎回,,,
2024/12/3,1.8121,2.0521,0.03%,限制大额申购,开放赎回,,,
2024/12/2,1.8115,2.0515,0.14%,限制大额申购,开放赎回,,,
2024/11/29,1.8089,2.0489,0.07%,限制大额申购,开放赎回,,,
2024/11/28,1.8077,2.0477,0.05%,限制大额申购,开放赎回,,,
2024/11/27,1.8068,2.0468,0.04%,限制大额申购,开放赎回,,,
2024/11/26,1.8061,2.0461,0.04%,限制大额申购,开放赎回,,,
2024/11/25,1.8054,2.0454,0.03%,限制大额申购,开放赎回,,,
2024/11/22,1.8048,2.0448,0.03%,限制大额申购,开放赎回,,,
2024/11/21,1.8042,2.0442,0.02%,限制大额申购,开放赎回,,,
2024/11/20,1.8039,2.0439,0.01%,限制大额申购,开放赎回,,,
2024/11/19,1.8037,2.0437,0.01%,限制大额申购,开放赎回,,,
2024/11/18,1.8035,2.0435,0.00%,限制大额申购,开放赎回,,,
2024/11/15,1.8035,2.0435,0.03%,限制大额申购,开放赎回,,,
2024/11/14,1.8029,2.0429,0.00%,限制大额申购,开放赎回,,,
2024/11/13,1.8029,2.0429,0.02%,限制大额申购,开放赎回,,,
2024/11/12,1.8025,2.0425,0.04%,限制大额申购,开放赎回,,,
2024/11/11,1.8017,2.0417,0.04%,限制大额申购,开放赎回,,,
2024/11/8,1.801,2.041,0.03%,限制大额申购,开放赎回,,,
2024/11/7,1.8004,2.0404,0.05%,限制大额申购,开放赎回,,,
2024/11/6,1.7995,2.0395,0.03%,限制大额申购,开放赎回,,,
2024/11/5,1.799,2.039,0.02%,限制大额申购,开放赎回,,,
2024/11/4,1.7986,2.0386,0.03%,限制大额申购,开放赎回,,,
2024/11/1,1.798,2.038,0.07%,限制大额申购,开放赎回,,,
2024/10/31,1.7968,2.0368,0.01%,限制大额申购,开放赎回,,,
